name,principal_component_1
380e8626132e7e65840ef3c880c845f13413563e.cl-A,-0.102152453
0816d24fcccd8615b80fbc7b7693dfbdec6436b9.cl-A,-0.146691956
3a6c16fae6ae181101e2f14f12fadff94435f28c.cl-A,-0.147755076
314ec4d7074bb925cc0d1fe07a5ba3026b5310ac.cl-A,-0.028231487
20e9df11b733929430463151f5dcce468f39af5b.cl-A,-0.102135517
5f813aba60a932bfc06bd7be5e7b5ad12e2c157e.cl-A,-0.177955887
32e1872609d3f2e586cf7d068e8774173fb0b9e2.cl-A,-0.102525034
6ef4800055a25724c6366e3a2ceb9e79cb0e4b91.cl-A,-0.191147879
7e3a4452a2770147369d3f13b7aacf4d388f80a4.cl-A,-0.09057181
7d2052ba8811e004e7b57746b9a8a3f554e2dd79.cl-A,-0.122258528
8405a40293a5c1ce196627838867aed996036536.cl-A,-0.36548611
8804e899195ce947694a92f19c543c2d4756dd6c.cl-A,-0.08371455
87530462c18a19e406c8c1de3735954596510570.cl-A,-0.115125069
12a443257d25b8e667ac1330a321314b32174656.cl-A,-0.245212524
9523979b8524be208a76be8db964620aa599978f.cl-A,-0.214658787
40d0b9d6a20cac3b10cca1b978555c99862b282d.cl-A,-0.153478186
170ab6db3bbe1b36197ecca55ad0f5d1054a5a1f.cl-A,-0.180558254
03a9a8739001a8f6bf36e0174a5bc890e4e56181.cl-A,-0.127974375
3aca451b8249e941c446bc96b78bb6bcd77b9b0d.cl-A,-0.131709003
50c55cce8d49d5aa1af7d002818a04ef18f721ef.cl-A,-0.098051419
60e5997b85908a8d8d27c2997b0695d019fe06c5.cl-A,-0.206170486
41a0c891113c74bc9a366c3aa53d98685d9d78c4.cl-A,-0.25933187
5a7f61302fe51af6c1a24adc3e1afd6264db7372.cl-A,-0.102321808
05812607c42186b6e3108dc11feb9f48ed7908c9.cl-A,-0.36548611
0dd5f3839d106a026a897d1daa84f2cada22fb36.cl-A,-0.152947002
6d6b240c15a8257aad9b9aa054dfe710a948e37e.cl-A,-0.1222633
15199a5da9f074209db6014af94607ff129a71be.cl-A,-0.126051001
9959cee871203f58cd6d4e36c2aeb21b7a03e969.cl-A,-0.094149472
58ba5582819d04f9a7f12cf6df5d01d781907ad0.cl-A,-0.183166115
7e1dfcba8bbc9cefd600814b6f706759945babcd.cl-A,-0.102660518
506416159f249b09fc433674c9475db22504e90d.cl-A,-0.177926061
5bcdd5ab856b0b037f54cdcce2c0bc446cd783e5.cl-A,-0.129174378
a63f57a916ff64bb78d82e8f8f4bf723cc9fb1b8.cl-A,-0.099038271
a504011efa8fd2d222ccf48c9c9726fb83ce68bb.cl-A,-0.167556682
558433246de140825f9b7183340d3053cde48e9c.cl-A,-0.091495122
7da00503a17fabf42e6284a0f3b370dc40c05b03.cl-A,-0.27964812
7080a6a69239a44d7c095fd0289fbfc8154cd206.cl-A,-0.102525034
778ea4c527f9532e2d148552cf1639bea9966200.cl-A,-0.081521768
8c2403f0376cb82a1485269a1518f7ef4b2a0f55.cl-A,-0.242727137
85ff3fbc3e6e7735b9fe2ae540c6e3e10262a7e8.cl-A,-0.12795502
92c0888f42ce035e3a9918b7283b647119509580.cl-A,-0.122789184
2d9d9ee6d14ce547db16b347b24b6a3a49298ea9.cl-A,-0.17389136
7767d99512eb1376e5324633dd00c239bb649e51.cl-A,-0.094719711
1fd2149afdbe5b80ccf4d9edc1276950f20c36e3.cl-A,-0.224682894
509af15ffbfabdc27c47421c454dbf099c91129b.cl-A,-0.127945343
08839359b6dd18dc6d6d20fdc112647f0cdbd95b.cl-A,-0.256683524
159fe8bd272295329a4b99b2067bfa812b10ce94.cl-A,-0.109674834
35267f9eda7783d41d453eea7ce29c1d53ca8436.cl-A,-0.196743037
6e382e3643960679495096cf2ade10a4ebbb87ec.cl-A,-0.325995835
1fb0e7253a2570ccdb6e8d8538d827157047b5fe.cl-A,-0.131693277
3cf4544e6dacf15f4b042ffb6bba32d8dc8f51a2.cl-A,-0.107100888
203ee396aee25339ca62e3d48a0781195794a430.cl-A,-0.364654494
334dc68feeb779495c189bd28341e8a907bdcb32.cl-A,-0.379590326
64a7c4c20fda3a7e28bf7cf3d461ded4dc86a2f0.cl-A,-0.154945845
871d4b7ede09d8bf6fb74988f60ac6cd73d013c7.cl-A,-0.149943578
9ad1b06bef7af53494840727a0ce6adfa617a1ba.cl-A,-0.131921906
45b7e50b370c9924ad941597bbcbc2e7b28e5593.cl-A,-0.152947002
45248133af4ce8c8332857ff73438651cb3a915c.cl-A,-0.116209531
61940af8bb75feac14949a95d50f3060adbd7a95.cl-A,-0.518326198
a3786b15d0525addca5f1e0dd654a3947758c301.cl-A,-0.159192716
2d8a050be2850e62dffbc7f720502fbe9a924110.cl-A,-0.089860518
831463118ff100e7a4c3a54c5f5e4dbdfaca8d44.cl-A,-0.163142937
58ab16345df5adc7b6f6b216c5152922cd83a87f.cl-A,-0.177955887
75e93e64acf627f0155128ae04a607c3f944828f.cl-A,-0.152947002
65f6ff9808e76d675e100b270699882c4eff45c3.cl-A,-0.089784308
96a439f93c5825154d08b519e4312a3fc78110bf.cl-A,-0.12784833
259fd9a808af6d08f6eb2a11354cedf9eee1af7c.cl-A,-0.089809711
9b9d02cab75f4d55049a95a1b2b245b39efd30f2.cl-A,-0.098051419
72bb6bd155bab83c2f5ad075d20c83b3fe8c1b47.cl-A,-0.137769863
8ef1287f2abb6cf6bb401d6425f2e933afda2758.cl-A,-0.102525034
552eaa33767a71c88ed6825a4dc73704dd9e96c3.cl-A,-0.149943578
2f1423bbeb6a2b1d44066cf9f3dbfb59b5cde19b.cl-A,-0.129386743
7ef6954fd966b227d31c66c30de0e36f39f15011.cl-A,-0.139121927
10f4999014804108aa9f88c6f4cbe110f8a41f95.cl-A,-0.02799439
2f9f028582b65d8a2716e95f5b49ddf98bc509e5.cl-A,-0.188095943
5a429dff8ab63c42334cb6fa72ecba34940e7701.cl-A,-0.148209379
4172a0f557f85d11c1acd667d1ea13fc79659405.cl-A,-0.083596001
701ea1c53d9e8c0bbb737aa5437a9f9ae190bc4e.cl-A,-0.102321808
